LDC_Translation_1	LDC_Translation_2	LDC_Translation_3
However, "PETA," a group working for animal protection, demanded the release of the lobster and now, as a result, it will be returned to the sea.	However, a group working for the animal safety called "PETA" demanded freeing the lobster, because of which it will be put back into the ocean.	But an animal rights group Peta demanded the lobster's release and as a result, it will be returned to the ocean.
George was caught from the sea in Canada, after which it spent ten days in the City Crab and Sea Food Company's tank.	George was caught from the ocean in Canada, and after that, it spent ten days in the tank of City Crab &amp; Seafood Company.	George had been caught from Canadian waters, after which he spent about 10 days in the tank of City Crab and Seafood.
The age of a lobster can be estimated from its weight.	The lobster's age can be assessed by his weight.	The age of a lobster can be estimated from its weight.
Restaurant manager Keith Valenti says that he had no intention to harm the lobster, and the purpose of keeping it in the tank was to provide something of interest to customers.	The restaurant manager, Keith Valenti, says that it was absolutely not their intention to do any harm to the lobster and the only reason for keeping it in the tank was to provide entertainment to the customers.	Restaurant manager, Keith Valenti, said that he never intended to harm the lobster, and the decision to keep it in the tank was made to entertain the customers.
Ingrid Newkirk of the PETA animal safety organization says that the restaurant's decision is praiseworthy and an example for those who either want to keep such rare animals in a tank or boil them for eating.	Ingrid Newkirk who belongs to the organization for animal safety 'PETA' says that the restaurant's decision is worthy of appreciation and is an example for those who either want to keep these types of rare animals in the tank or want to boil them alive to eat.	Ingrid Newkirk, of the animal rights group, Peta, said that the restaurant's decision was commendable and it serves as an example for those who either want these unique animals to be confined to tanks or to boil them alive and eat them.
Search for Girl with Help of Mobile Phone	Search for Girl with the Help of Mobile	Search for Girl, through Mobile Assisstance
When officials found out about Natalie Maltais, the police officers and fire extinguishing forces of the Massachusetts city of Athol came into action.	After the authorities came to know about Natalie Maltais, the police officers and fire extinguishing forces of Athol, the city of Massachusetts, came into action.	After authorities were alerted about Natalie Maltais, police officers and firefighters of the Town of Athol, Massachusetts, came into action.
Workers found the girl's exact location with the help of the GPS in her mobile phone.	The officials found out the exact location of the girl with the help of the GPS present in her mobile.	Authorities traced the exact location of the girl through GPS in her mobile.
However, with the help of Google Street View, it was determined that the girl was in a hotel.	However, with the help of Google Street View, it was found that the girl was in a hotel.	However, it was with the help of Google Street View that it was found that the girl was in a hotel.
A week ago, Natalie's grandmother, Rose Maltais had taken Natalie from her legal parents' custody.	One week ago, Natalie's grandmother, Rose Maltais,took Natalie away from the custody of her legal parents.	A week ago Natalie's grandmother Rose Maltais had taken Natalie away from the custody of her legal parents.
Timothy Anderson, Athol's Police Chief, told BBC, "She said she will never return Natalie and then she left the state."	The police chief of Athol told BBC, "She said that she would now never return Natalie and then she left the state."	Athol Police Chief Timothy Anderson told BBC 'she said that now she will never return Natalie and then left the state.
The police established contact with Mrs. Maltais, but when she did not return Natalie as promised, the police decided to search for Natalie by means of her mobile phone.	Police contacted Ms. Maltais, but when she did not return Natalie as per the promise, police decided to search for Natalie with the help of her mobile phone.	Police contacted Ms. Malatais but when she did not return the child as promised, police decided to search her with the help of Natalie's mobile phone.
Since 2005, it is the law in America that the companies providing mobile services will provide the locations of 67 percent of the callers at a distance of 100 meters and 95 percent of the callers at a distance of 300 hundred meters.	Since 2005, it has been the law in America that companies providing mobile service should provide the location of 67% of callers from a distance of 100 meters and 95% of callers from a distance of 300 meters.	Since 2005 America has the law stating that, all cell phone service providers should be able to provide the location of 67 percent of callers within 100 meters and 95 percent of callers within 300 meters.
Hamid Karzai Visiting India	Hamid Karzai Visits India	Hamid Karzai on Visit to India
This is Hamid Karzai's second visit to India in the last five months.	This is Hamid Karzai's second visit to India in the last 5 months.	This is Hamid Karzai's second visit to India in the last five months.
It is hoped that during the meeting with Prime Minister Manmohan Singh he will talk about conditions after the extremist attacks in Mumbai.	It is expected that during the meeting with the Prime Minister Manmohan, he will discuss the situation after the extremists' attacks on Mumbai.	It is expected that in his meeting with Prime Minister Manmohan, the situation after the terrorist attacks in Mumbai would be discussed.
During this visit, he wants to express the feelings of Afghanistan and its people about the Mumbai attacks and their solidarity with India.	He wants to express the feelings of Afghanistan and its people and their solidarity with India on the Mumbai attacks.	During this visit, he wants to express the sentiments of Afghanistan and its people regarding the Mumbai attacks, and his solidarity with India.
Besides extremism, there will be discussion regarding mutual trade during Karzai's visit.	During this visit of Karzai, mutual trade will also be discussed besides extremism.	Apart from extremism, talks will be held on bilateral trade during this visit of Karzai
There is hope for talks between the two countries about cooperation in dealing with extremism.	Talks on mutual cooperation in combating extremism are also expected between the two countries.	It is expected the two countries will discuss bilateral cooperation to fight against extremism.
During his last visit to India, President Hamid Karzai had said that terrorism will not be allowed to hamper the relations between India and Afghanistan.	During his last visit to India, President Hamid Karzai said that extremism would never be allowed to intervene in the relationship between India and Afghanistan.	President Hamid Karzai said during his previous visit to India that terrorism would not be allowed to interfere between the relations of India and Afghanistan.
He also said that both India and Afghanistan are facing the challenge of terrorism and ruthless and murderous activities.	He also said that both India and Afghanistan face the challenge of terrorism and merciless killing activities.	He said both India and Afghanistan were facing challenges of terrorism and merciless and murderous activities.
"Peace and stability is beneficial for everyone - for both countries, the region, and the entire world.	Peace and stability in both countries, the region and the whole world is good for everyone.	Peace and stability in both the countries is of benefit to the region and everyone in the world.
We understand the fact that only by joining forces can the two countries and the entire world fight the curse of terrorism."	We understand this fact that both countries and the whole world can fight the curse of terrorism only when united.	We realize that it is only through concerted effort between the two countries and the entire world that the curse of terrorism can be fought.
In July of last year, Hamid Karzai had held ISI, Pakistan's secret service, responsible for the attack on the Indian Embassy in Kabul.	It should remain clear that Karzai held the Pakistani intelligence agency ISI responsible for the attacks on the Indian Embassy in Kabul in July last year.	It should be noted that Karzai held Pakistani intelligence agency, ISI, responsible for the attack on Indian Embassy in Kabul, in July last year.
In that attack a high IFS worker along with four Indians had been killed.	In this attack, four Indians were killed, including a high-level ISF official.	Four Indians including a top IFS official were killed in this attack.
During Karzai's visit to India after the attack on the Embassy, Prime Minister Manmohan Singh had said that the attack "was an attack on India and Afghanistan's friendship; we agreed that we will not let terrorism hamper our relations."	During Karzai's visit to India after the attack on the embassy, Prime Minister Manmohan Singh said, "This was an attack on the friendship of India and Afghanistan. We agreed upon this that we would not allow terrorism to intervene in our relationship."	In the wake of attack on the Embassy, during Karzai's visit to India, Prime Minister Manmohan Singh had said that the attack 'was an assault on India-Afghanistan friendship; we agree that we will not allow terrorism to become a hurdle in our relations.
Mumbai Attacks; Special Judge for Hearing	Mumbai Attacks, Special Judge for Hearing	Mumbai Attacks, Special Judge for Hearing
Mumbai Police Commissioner Hasan Gafoor said that the hearing of the case registered against Ajmal Amir Kasab, the only accused person captured alive during the extremist attacks on Mumbai, will be conducted under the supervision of M. L. Tahiliani.	The Mumbai Police Commissioner, Hasan Gafoor, has said that the case registered against Ajmal Amir Qasab, the only accused who has been apprehended alive, during the extremists attacks on Mumbai, would be heard under the supervision of M.L.Tahiliani.	Mumbai Police Commissioner, Hasan Ghafoor, has said that the hearing of the case registered against the lone suspect arrested alive in the Mumbai terror attacks will be carried under the supervision of M. L. Tahiliani.
Ujjwal Nikam was already appointed before this as public prosecutor for the case.	Prior to this, Ajul Nikom, has been appointed public prosecutor in this case.	Prior to this, Ujjwal Nikam has been appointed public prosecutor in this case.
At present Ajmal Kasab is in police custody, and it is hoped that the police will submit a chargesheet against him before January 24.	Ajmal Qasab is currently in police custody and it is expected that the police will submit a list of indictment against him before January 24.	Ajmal Qasab is presently under police custody and it is expected that the police will file charges against him before January 24.
Ajmal Kasab has no attorney to defend him.	Ajmal Qasab has no attorney for his defense.	Ajmal Kasab has no lawyer for his defense.
In a letter written to the Pakistani government, Kasab had appealed for legal assistance.	Ajmal Qasab requested legal aid in a letter written to the government of Pakistan.	In a letter written to Pakistan, Kasab had requested for legal help.
India has delivered to Pakistan the evidence of the involvement of Pakistani extremists in the Mumbai attacks.	India has submitted proofs of the involvement of Pakistani extremists in the Mumbai attacks.	India has presented Pakistan with evidence about the involvement of Pakistani extremists in the Mumbai attacks.
Pakistan has accepted that Ajmal Kasab is a Pakistani citizen.	Pakistan has accepted that Ajmal Qasab is a Pakistani national.	Pakistan has admitted that Ajmal Kasab is a Pakistani citizen.
According to the police case, after killing ATS Chief Hemant Karkare, Additional Police Commissioner Ashok Kamte, and Encounter Specialist Police Inspector Vijay Salaskar, along with six policemen, Ajmal and his accomplice Abu Ismail took their squad car and fled but were caught later in D.B. Marg at Girgaon Chaupati.	According to the police, Ajmal and his accomplice, Abu Ismail, after killing six police officials, including ATS chief Hemant Karkare, Additional Police Commissioner Ashok Kamte, encounter specialist Police Inspector Vijay Saliskar, snatched their squad car and fled, who were apprehended afterwards from DB Marg Girgaum Chowpatty.	According to the case filed by police, Ajmal and his accomplice Abu Ismail had killed ATS chief Hemant Karkare, Additional police Commissioner Ashok Kamte and encounter specialist Vijay Salaskar and fled with their squad car; they were later caught near DB Marg Gargam Chawpati.
Ismail Khan died during the police activity and police captured Ajmal alive.	Ismail Khan was killed during the police operation and Ajmal was apprehended alive by the police.	Ismail Khan had been killed in police action and Ajmal was arrested alive by the police.
So far no attorney has been nominated to plead Ajmal's case.	No attorney has been appointed yet for pleading the case of Ajmal.	No lawyer has yet been appointed to plead Ajmal's case.
Attorney Dinesh Mota of the Legal Aid Cell, who was nominated by the government, refused to take the case on ethical grounds.	Legal aid cell attorney, Dinesh Mota, who was appointed by the government, refused to take the case on moral grounds.	The government nominated lawyer, Dinesh Mota, who was member of the legal aid cell, had refused to take the case on ethical grounds.
Two attorneys took their names back after the demonstrations and opposition by members of one of the political parties.	Two attorneys have withdrawn their names after the demonstrations and opposition from the people of a political party.	Two lawyers withdrew their names after protests and opposition by people belonging to a political party.
"Consitutional Amendment": Committee Will Be Formed	Constitutional Amendment: Committee to be Constituted	'Constitutional Amendment': Committee to be Formed.
On Tuesday in Islamabad, while talking to media representatives after addressing a seminar on changes in the situation, he said that a meeting of the Parliamentary Party will be called to form the committee in this regard.	While talking to the media after addressing a seminar on environmental change on Tuesday in Islamabad, he said that in regard to this, a meeting of the Parliamentary Party will be convened in which this committee will be formed.	Talking to media representatives after his speech at a seminar on climate change in Islamabad on Tuesday, he said that a meeting of the parliamentary party will be held in this regard where this committee will be formed.
He said that up until this point, the Constitutional Amendment Bill for the repeal of the Seventeenth Amendment has been presented in the National Assembly by the Muttahida Qaumi Movement, while other political parties will present the Constitutional Amendment Bill in the Parliament.	He said that as of now, the Muttahida Qaumi Movement has submitted the constitutional amendment bill in the National Assembly for the elimination of 17th amendment, whereas other political parties will also submit a constitutional amendment bill in the parliament in this respect.	He said that so far, Muttahida Qaumi Movement has presented a constitutional amendment bill before the National Assembly to eliminate the 17th amendment, while other political parties will also present constitutional amendment bills in the parliament in this regard.
He said that the Pakistan People's Party has also sent a draft to all political parties for the repeal of the Seventeenth Amendment, and the committee will also examine that draft.	He said that the Pakistan Peoples Party has also sent a draft for the elimination of the 17th amendment to all parties, and this committee will also review this draft.	He said that Pakistan People's Party has also sent a draft to all the political parties to eliminate the 17th amendment, and this committee will review that draft as well.
In response to one question, he said that Parliament will be the one to decide how authority will be balanced between the President and the Prime Minister.	Responding to a question, he said that the balance of power between the President and the Prime Minister will be decided by the Parliament.	Replying to a question, he said that the Parliament will decide on the balance of power between the President and the Prime Minister.
The Prime Minister said that Parliament has the authority to make all decisions.	The Prime Minister said that the Parliament is fully empowered in making all decisions.	The Prime Minister said that the parliament has the authority to make all decisions.
Responding to another question, he said that regarding ex-President General (retired) Pervez Musharraf's leaving his post as Army Chief, in addition to the role played by political parties, the role of Benazir Bhutto, ex-Prime Minister and Chairperson of the Pakistan People's Party, was also important, as she urged the global community to urge ex-President Pervez Musharraf to step down.	Responding to another question, he said that besides the role of other parties in asking the former President General (Retired) Pervez Musharraf to quit the post of Army Chief, the former Prime Minister and Chairperson of the Pakistan Peoples Party also played a very important role who insisted on the international community for asking former President Pervez Musharraf to take off the uniform.	Replying to another question, he said that apart from the role of political parties regarding former President, Retired General Pervez Musharraf's decission to quit the post of the army chief, the former Prime Minister and chairperson of Pakistan People's Party, Benazir Bhutto, also played an important role as she pressed the international community to put pressure on former President Pervez Musharraf to let go of his uniform.
He said that American Vice President-elect Joe Biden is a supporter of Pakistan and democracy, and as a reward for his services the President of Pakistan has awarded him the Hilal-e-Pakistan.	He said that the elected Vice President of America is a supporter of Pakistan and democracy and the President of Pakistan has honored him with Hilal-e-Pakistan for his services.	He said that the American Vice President elect Joe Biden supports Pakistan and democracy, and Pakistani President has conferred on him the honor of Hilal-e-Pakistan for his services.
In a response to a question about the threat by the Indian government to terminate all types of relations with Pakistan after the Mumbai incident, Yousaf Raza Gilani said that the Indian rulers make such statements because they are under intense public pressure at this time.	On a question about the threat from the Indian Government of severing all sort of relationship with Pakistan after the Mumbai incident, Yousuf Raza Gilani said that the Indian Government is facing extreme pressure from the public and that's why they issue these types of statements.	Replying to a question on Indian government's threat to sever all kinds of relations with Pakistan in the wake of the Mumbai incident, Yousuf Raza Gillani said that Indian leaders are giving such statements as they are facing immense pressure from the public.
Protest Against Firing of Journalists	Protest against the Sacking of Journalists	Protests Against Dismissal of Journalists
On Tuesday in Islamabad, in front of the Islamabad Press Club, under arrangements by the journalists' organization "RIUJ," journalists and newspaper workers protested and shouted slogans against the owners of mass media and the government for the firing of a great number of employees from TV channels and newspapers.	On Tuesday in front of Islamabad Press Club, journalists and newspaper workers rallied and raised slogans in a protest organized by the organization of the journalists of Islamabad 'RIUJ' against media owners and the government on the sacking of a large number of employees from TV channels and newspapers.	On Tuesday, journalists and news personnel, under the umbrella of Islamabad journalists' organization RIUJ, protested and shouted slogans in front of Islamabad Press Club against the owners of media organizations and government on the dismissal of a large number of employees working in television channels and newspapers.
When speaking to the demonstrators, C. R. Shamsi - senior member of the Pakistan Federal Union of Journalists, the largest organization of journalists - said that the politicians who used to protest with them on the streets are now sitting in the government as rulers, but are doing nothing for the rights of journalists out of fear of a specific group of newspaper owners.	Addressing the demonstrators, the senior member of the largest organization of the journalists, Pakistan Federal Union of Journalists, C. R. Shamsi, said that those politicians who were protesting with us on the streets lately, have now become rulers and are sitting in the parliament; however, they are not doing any good for the rights of journalists, as they are afraid of a specific group of newspaper owners.	Addressing the protesters, C.R. Shamsi, senior member of the largest journalist organization, Pakistan Federal Union of Journalists, said that the politicians who were, till yesterday, protesting with us on the roads, are sitting as rulers in the parliament but they are not doing anything for the rights of journalists because of the fear of a particular group of newspaper owners
He said that the owners of newspaper who talk about human rights have made their organizations into torture chambers and beggar camps where they pay the workers extremely low wages and financially murder hundreds by firing them, despite earning billions of rupees each year for themselves.	He said that the newspaper owners, who talk about human rights, have turned their organizations into torture cells and labor camps, where, despite making billions of rupees, they are committing financial murder on workers by paying them extremely low wages and sacking them from the employment.	He said that the newspaper owners who talk about human rights have turned their institutions into prisons and slave labor camps where despite the earnings of billions of rupees annually, workers are being paid very low wages and hundreds of them are being killed economically because of their dismissal.
The example before us is that of a worker of private TV Channel Five in Lahore who had committed suicide after not being paid for four months; even today, many workers are living under duress due to forced dismissal and not receiving their salaries for months.	In front of us, the example of this is that of a worker of a private TV channel FIVE who committed suicide after not getting the salary for four months, and even today, many workers are living miserably because of forced dismissals and not getting salaries for months.	An example of this is in front of us as an employee of Lahore based private TV channel 5 committed suicide because he did not get his salary for four months. Even today, many employees are living in hardship because of forced expulsions and non payment of salaries for months.
He said that direct steps should be taken against TV and newspaper owners and a permanent protest camp needs to be set up before the Parliament for the rights of journalists.	He said that direct action should be taken against TV and newspaper owners, and for the rights of journalists, a protest camp is needed on a permanent basis in front of the parliament.	He said that right steps should be taken against owners of TV channels and newspapers and a permanent protest camp should be put in front of the parliament for the rights of journalists.
C. R. Shamsi, criticizing Governor of Punjab Salman Taseer, said that employees are being dismissed from his Urdu newspaper "Aaj Kal" without any notice.	Criticizing the Governor of the Punjab Salman Taseer, C. R. Shamsi said that the employees are being sacked without any notice from his Urdu newspaper 'Aaj Kal',	C. R. Shamsi criticized Punjab Governor, Salman Taseer, saying that employees are being dismissed from his Urdu newspaper 'Aajkal' without any notice.
As Daily Jinnah, Daily Khabrein, Channel Five, Business Plus TV, and Aaj TV have fired dozens of employees,	whereas Daily Jinnah, Daily Khabrain, Channel Five, Business Plus TV, and Aaj TV have also dismissed dozens of employees.	Whereas the Daily Jinnah, Daily Khabrain, Channel 5, Business Plus TV and AaJ TV too have dismissed dozens of employees.
Mazhar Abbas, Secretary General of PUFJ, said, when speaking to demonstrators, that today, throughout the country, journalist organizations are celebrating Black Day against the firing of journalists and newspaper workers, while the journalists will go to the Parliament session to fight for their rights with black bands tied on their arms.	Addressing the protestors, the Secretary General of PUFJ, Mazhar Abbas, said that today the journalist organizations are observing Black Day countrywide against the sacking of journalists and newspaper workers, whereas the journalist will go to the session of the parliament with black bands on their arms for the achievement of their rights.	Addressing the protesters, Secretary General of PUFJ, Mazhar Abbas, said that journalist organizations all across the country are observing today as a black day against the dismissal of journalists and newspaper employees, while the journalists will go to the parliament session wearing black bands around their arms in order to claim their rights.
According to Mazhar Abbas, the workers and journalists are being exploited in eighty-five percent of Pakistan's newspapers and TV channels, where they are working without any contract.	According to Mazhar Abbas, in 85% of the newspapers and TV channels, workers and journalists are being exploited where they are working without any contract.	According to Mazhar Abbas, employees and journalists are being exploited in 85% of the newspapers and TV channels where they are working without ant contracts.
He said that until now, more than 200 journalists and workers have been dismissed from newspapers and TV channels, while it is feared that during the current year, owners will dismiss hundreds more, justifying this on the basis of the economic crisis.	He said that as of now, more than 200 journalists and workers are being dismissed from the newspapers and TV channels, and it is feared that in the current year, the owners will dismiss hundreds of workers on the justification of financial crisis.	He said that so far, more than 200 journalists and employees are being dismissed from newspapers and TV channels, while it is feared that the owners will dismiss hundreds of more employees during the current year under the pretext of economic crisis.
Mazhar Abbas said that the journalists' movement will continue until the workers who were fired are reinstated, the Seventh Wage Board Award that fixes the wages of newspaper workers is implemented, and the salaries of workers of TV channels and newspapers are paid, which have been withheld for months.	Mazhar Abbas said that the journalists movement will continue until the dismissed workers are reinstated, the 7th Wage Board Award, which assesses the wages of newspaper workers, is implemented, and TV channels and newspaper workers are paid their unpaid salaries for many months.	Mazhar Abbas said that the movement of journalists will continue until the dismissed employees are reinstated, the Seventh Wage Board Award specifying the wages of newspaper employees is implemented and salaries unpaid for several months of TV channels and newspaper workers are disbursed.
Eleven-Member Cabinet Took Oath	11-Member Cabinet Sworn in	Eleven-Member Cabinet Takes Oath
The new cabinet includes six ministers from the Muslim Conference party which opposed former Prime Minister Sardar Ateeq Ahmed Khan, two from the Pakistan People's Party, two from the People's Muslim League, and one from the Muttahida Qaumi Movement.	In the new cabinet, six from the group of Muslim Conference which opposes the former Prime Minister Sardar Ateeq Ahmed Khan, two from Pakistan Peoples Party, two from Peoples Muslim League, and one minister from Muttahida Qaumi Movement are included.	The new cabinet includes six ministers from the former Prime Minister Sardar Atique Ahmed Khan's rival faction of Muslim Conference, two from Pakistan People's Party, two from People's Muslim League and one minister from Muttahida Qaumi Movement.
There is also one female minister in the eleven-member cabinet from Ateeq's opponents, the Muslim Conference party.	The 11-member cabinet also includes one woman minister, who belongs to the Ateeq opposition group Muslim Conference.	The 11 member cabinet also includes one woman minister from the anti Atique faction of Muslim Conference.
The ruling alliance says that there will be an expansion in the cabinet next week and there is a possibility that a dozen more ministers will be included in the cabinet. In the beginning of this month, Sardar Ateeq Khan's opponents removed him from his position as Prime Minister through a vote of no-confidence, and Sardar Yaqoob Khan was chosen as the new Prime Minister.	According to the treasury alliance, the cabinet will be expanded next week, and it is possible that one dozen more ministers will be inducted into the cabinet. It should be noted that at the beginning of this month, Sardar Ateeq Khan was removed from the post of Prime Minister by his opponents through no confidence and Sardar Yaqoob Khan was elected new Prime Minister.	The ruling alliance says that the cabinet will be expanded next week and a dozen more ministers are expected to be included in the cabinet. It should be noted that Sardar Atique Khan had been removed from the post of prime minister by his opponents through a no confidence motion early this month and Sardar Yaqub Khan had been elected as the new Prime Minister.
Portfolios of these ministers will be announced later.	The portfolios of these ministers will be announced later.	The departments of these ministers will be announced later.
At the time of taking oath, workers of the People's Party shouted slogans in support of former Prime Minister Benazir Bhutto.	At the oath-taking ceremony, the workers of Pakistan Peoples Party chanted slogans in favor of the former Prime Minister of Pakistan Benazir Bhutto.	At the time of oath taking, members of People's Party raised slogans in favor of Pakistan's former Prime Minister, Benazir Bhutto.
3.5 Million Consumers Affected by Virus	Virus Affects 3.5 Million Consumers	3.5 Million Consumers Affected by Virus
This virus, identified for the first time in October 2008, is known by names such as Conficker, Down and Up, and Kido.	Diagnosed for the first time in October 2008, this virus is known as Conficker, Downadup and Kiddo.	First discovered in October, 2008, this virus is known by such names as Conficker, Downadup and Kido.
Microsoft issued a patch to deal with this virus, but in spite of it, around 3.5 million computers and memory sticks have been affected by it.	Microsoft released a patch to combat this virus but, despite this, around 3.5 million computers and memory sticks have been affected with this.	Although, Microsoft had launched a patch to combat the virus, around 3.5 million computers and memory sticks have so far been affected.
The experts say that the number of affected computers could significantly increase.	The experts say that the number of the computers affected may be very high.	Experts have said, the number of affected computers may go very high.
To deal with it, consumers need to use the MS08-067 patch from Microsoft.	The consumers need to use Microsoft's patch 'MS08067' to combat this.	Consumers need to use Microsoft's 'MS08067' patch to deal with the virus.
Microsoft says that this virus, affecting hundreds of thousands of computers, locates the '.exe' file of Windows File Services and merges with its code.	According to Microsoft, the virus affecting hundreds of thousands of computers searches for Windows' file 'services.exe' and then gets embedded in its code.	Microsoft says the virus which has affected millions of computers, searches for file 'services.exe' and penetrates into its code.
The virus then becomes a type of DLL file in the Windows system folder.	After that, this virus becomes a dll type file in Window's system folder.	After which, this virus turns into a DLL type file in the system folder of Windows.
It also creates a name for this file,	This virus also generates the name of this file.	This virus also creates the name of that file
then changes the details of the windows registry.	Then changes the details of Windows' registry.	Then it changes the details of Windows' registry.
After being activated, the virus creates a problem which presents itself as an "HTTP Server" and changes the restore point of the machine.	This virus, after getting activated, creates a problem that emerges as 'HTTP Server' and changes the restore point of the machine.	After becoming active, this virus causes a problem with the 'HTTP Server' and changes the machine's restore point.
After this, it downloads files from a hacker's website.	After this, it downloads the files from the hacker's Web site.	Then it downloads files from hacker's website.
Microsoft says that this virus has affected computers in different countries of the world.	Microsoft says that this virus has affected computers in different countries of the world.	Microsoft says this virus have affected the computers of various countries of the world.
China, Brazil, Russia, India, America and Britain are among these countries.	These countries include China, Brazil, Russia, India, America and Britain.	These countries include China, Brazil, Russian, India, America and Britain.
"Demand for Quick Report on India's Dossier"	'Immediate Report Demanded on Indian Information'	'Demand for Immediate Report on Indian Information'
When talking to media representatives after a meeting in the Interior Ministry on Saturday, he said that the information provided by India	On Saturday, while talking to the media representatives after a meeting in the Ministry of Interior, he said that the information provided by India	Talking to media representatives after a meeting in the Interior Ministry on Saturday, he said the information provided by India
will help in investigating this matter.	would help in the investigations of this case.	will help investigate into this matter.
He said that Pakistan is an autonomous country and, in the investigation of the information received from India, from any country,	He said that Pakistan is a sovereign country and on the investigations on the basis of the information provided by India,	He said that Pakistan is a sovereign country and we will not let
will not accept any dictation.	dictation will not be accepted from any country.	any country dictate us in the investigation carried on information received from India.
He said that, in addition to the information received from India, we are collecting other information as well.	He said that besides the information received from India, other information is also being collected.	He said that besides the information received from India,other information is also being gathered.
The Adviser on Interior Affairs said that law enforcement agencies have taken into custody 124 members of a banned organization on charges of threatening the peace	The Interior Advisor said that 124 members of a defunct organization have been taken into custody with the apprehension of the law and order situation	The Interior Advisor said that law enforcement agencies have taken 124 activists of a banned organization into custody under suspected threat to peace and order
and if proof is found against any of them, then further action will be taken, while the innocent will be released.	and if proof is found against some of them, they will be prosecuted, while the innocent will be freed.	and if any evidence is found against some of them, action will be taken against them while the innocent individuals will be released.
In response to a question, he said that none of the arrested persons will be extradited to India; rather they will be prosecuted according to Pakistani law.	Responding to a question he said that no arrested person will be extradited to India and they will be prosecuted under the Pakistani Laws.	Replying to a question, he said, none of the arrested persons will be handed over to India and action will be taken against them under Pakistani laws.
He said that action against these people has been taken under FIA law.	He said that action has been taken against these persons according to the FIA Law.	He said, action was taken against them under the FIA law.
In response to another question, he said that it has taken the Indian law enforcement agencies 42 days to collect information regarding the persons involved in the Mumbai incident, so he hopes that the international community as well as India will give Pakistan some time to investigate that information.	Responding to a question, he said that it took 42 days for Indian law enforcement agencies to collect information about the persons involved in the Mumbai incident; therefore, he expects that the international community, including India, will allow some time for Pakistan to conduct investigations on this information.	Replying to a question, he said that Indian law enforcement agencies took 42 days to gather information about those behind the Mumbai incident, therefore, he hopes that the international community, including India, will give Pakistan some time to investigate the information.
He repeated the government's offer for a joint inquiry committee to be formed for the investigation of the Mumbai incident.	He repeated the offer of the government that a joint investigation team be formed for the investigation of the Mumbai incident.	He reiterated the government's offer to form a joint investigation team to probe the incident.
A three-member inquiry team has already been set up under the leadership of the Additional Director General of the FIA which is	Let it be clear that a three-member team headed by Additional Director General FIA has been formed, which	It may be recalled that a three-member investigation team headed by Additional Director General of FIA has been formed, which is
investigating the information provided to Pakistan by India regarding the Mumbai attacks.	is investigating the Mumbai attack on the information provided to Pakistan by India.	studying the information India has provided to Pakistan regarding Mumbai attacks.
Shahid Malik, Pakistan's High Commissioner to India, had a meeting with President Asif Ali Zardari wherein the President made it clear that if any Pakistani individual or group is found to have been involved in the Mumbai attacks, action will be taken against them in accordance with the laws of the country, but no one will be extradited to India, even though the Indian leadership is continuously pressuring Pakistan to hand over to India those involved in the incident.	, Shahid Malik, the High Commissioner of Pakistan to India, met President Asif Ali Zardari in which the President made it clear that any Pakistani individual or group found involved in the Mumbai attacks would be prosecuted under the laws of the country and no one will be given in the custody of India; In the meantime, the Indian leadership is continuously pressing Pakistan for the extradition of the people involved in this incident to India.	Pakistani High Commissioner to India Mr. Shahid Malik met President Asif Ali Zardari, in which the President made it clear that if any Pakistani individual or group was found involved in Mumbai attacks, action would be taken against them according to the country's laws and no one will be handed over to India, whereas the Indian leadership has been mounting pressure on Pakistan to hand over those behind the Mumbai attacks.
"Anything Possible in America"	'Anything is Possible in America'	'Anything is Possible in America'
Mr. Obama will take oath on January 20 as America's forty-fourth president.	Mr. Obama will be sworn in on January 20 as the 44th President of America.	Mr. Obama will take oath on 20th January as America's 44th president.
Speaking at a music concert in Washington while standing on the steps of the building constructed in memory of Abraham Lincoln, America's sixteenth President,	In Washington addressing a concert standing on the stairs of the monument constructed in the remembrance of the 16th President of America Abraham Lincoln,	In Washington, while standing on the stairs of the monument build to commemorate the 16th American president, Abraham Lincoln, addressing a musical concert
Mr. Obama said that "America is facing the most serious challenge in many generations" and he is hopeful that America will overcome these problems.	Mr. Obama said that 'America is facing the most severe challenges of many generations and he is quite hopeful that America will overcome these difficulties.	Mr. Obama said, 'America is facing the most severe challenges of several generations and he is hopeful that America will overcome these problems.
Abraham Lincoln abolished the practice of slavery in America.	Abraham Lincoln eliminated the traditions of slavery in America.	Abraham Lincoln abolished the tradition of slavery in America.
However, Mr. Obama added that it will take time to solve the problems the country is facing and the way will be difficult.	However, at the same time, Mr. Obama also said that it would take time to solve the problems faced by the country and that the path will be difficult.	But at the same time Mr. Obama said that it will take time to solve the issues facing the country and the path will be tough.
But despite that, "I am hopeful that the dream of the founders of this country will live on."	'Nonetheless, I am quite hopeful that the dream of the founders of this country will remain alive.	But in spite of this, I am hopeful that the dream of our founders will live.
Besides the wars in Iraq and Afghanistan, America is battling a severe economic crisis.	America, besides the wars of Iraq and Afghanistan, is also facing a severe economic crisis.	America is battling with a tough economic crisis, besides the wars in Iraq and Afghanistan.
Extraordinary steps are being taken for the oath-taking ceremony.	Extraordinary steps are being taken for the inauguration ceremony.	extraordinary arrangements are being made for the swearing-in ceremony.
Its organizers think that two million people will attend the celebration.	Organizers think that two-million people will be attending this ceremony.	Organizers believe that two million people will attend the ceremony.
